"employment_id","applicant_id","company_name","position","start_date","end_date","reference_contact"
"1","1","TechCorp","Software Engineer","2018-06-01","2022-07-15","9876543210"
"2","2","HealthPlus","Nurse","2015-03-10","2020-05-22","8765432109"
"3","3","BankTrust","Accountant","2017-09-18","2021-12-30","7654321098"
"4","4","EduWorld","Teacher","2016-08-25","2019-10-10","6543210987"
"5","1","WebSoft","Frontend Developer","2022-09-01","null","5432109876"
"6","5","MediCare","Pharmacist","2019-11-10","2023-01-15","4321098765"
"7","6","Construx","Civil Engineer","2014-07-20","2019-08-30","3210987654"
"8","3","AutoWorks","Financial Analyst","2022-02-01","null","2109876543"
"9","7","GreenTech","Research Scientist","2018-04-10","2022-06-30","7654321987"
"10","null","Unknown Co.","Unlisted Job","2020-01-15","2021-12-31","8765432190"
