"report_id","person_id","reported_by","contact_number","relationship_to_person","report_date","status"
"1","1","Alice Doe","1234567890","Sister","2024-01-12","Open"
"2","2","Robert Smith","9876543210","Brother","2023-11-07","Found"
"3","3","Sarah Brown","1112223333","Wife","2023-12-20","Open"
"4","4","David Johnson","4445556666","Father","2024-02-02","Open"
"5","5","Nancy Williams","7778889999","Wife","2024-01-24","Open"
"6","6","James Miller","6667778888","Brother","2023-10-16","Found"
"7","7","Laura Taylor","5556667777","Sister","2024-02-06","Open"
"8","8","Robert Anderson","9998887777","Father","2024-01-31","Open"
"9","9","Maria Martinez","8887776666","Mother","2023-12-30","Open"
"10","10","Oliver Clark","2223334444","Husband","2023-09-22","Closed"
