"user_id","username","password_hash","role"
"1","admin_user","hashedpassword1","Admin"
"2","officer_mike","hashedpassword2","Officer"
"3","public_alice","hashedpassword3","Public User"
"4","detective_ryan","hashedpassword4","Officer"
"5","officer_lucas","hashedpassword5","Officer"
"6","detective_morgan","hashedpassword6","Officer"
"7","public_nancy","hashedpassword7","Public User"
"8","admin_jessica","hashedpassword8","Admin"
"9","officer_hannah","hashedpassword9","Officer"
"10","public_robert","hashedpassword10","Public User"
